,1_risk_safety_health,2_sustainability_rights_climate,3_board_directors_remuneration,4_water_waste_impairment,5_emissions_scope_energy,8_tax_taxes_group,9_mobility_transport_sustainable,10_green_bond_green bond,11_circular_circular economy_economy,12_digital_transformation_digital transformation,13_disabilities_people_accessibility,17_leave_maternity_paternity,18_noise_noise pollution_pollution,ind,name,year
0,0.028769841269841268,0.028273809523809524,0.01984126984126984,0.006944444444444444,0.002976190476190476,0.003472222222222222,0.001488095238095238,0.004464285714285714,0.000992063492063492,0.000992063492063492,0.0,0.0,0.0,0,unicredit,2021
1,0.03032258064516129,0.03354838709677419,0.04258064516129032,0.005161290322580645,0.0006451612903225806,0.001935483870967742,0.0,0.0012903225806451613,0.0,0.0,0.0,0.0,0.0006451612903225806,1,unicredit,2020
2,0.020915771622385528,0.03335217637083098,0.033917467495760314,0.005087620124364048,0.0011305822498586771,0.0011305822498586771,0.0,0.002826455624646693,0.0,0.0,0.0005652911249293386,0.0,0.0,2,unicredit,2018
3,0.021668971876440755,0.021668971876440755,0.018441678192715538,0.002305209774089442,0.0004610419548178884,0.0004610419548178884,0.0,0.003227293683725219,0.0,0.0004610419548178884,0.0,0.0,0.0004610419548178884,3,unicredit,2019
4,0.01992287917737789,0.032776349614395885,0.02892030848329049,0.005141388174807198,0.0012853470437017994,0.0006426735218508997,0.0,0.005141388174807198,0.0,0.0,0.0006426735218508997,0.0,0.0012853470437017994,4,unicredit,2017
5,0.03640897755610972,0.02344139650872818,0.0344139650872818,0.005486284289276808,0.003491271820448878,0.0,0.0,0.006982543640897756,0.0,0.00199501246882793,0.0004987531172069825,0.0014962593516209476,0.004488778054862843,5,telecom,2017
6,0.024464831804281346,0.04984709480122324,0.05229357798165138,0.005810397553516819,0.0015290519877675841,0.0,0.0,0.003975535168195718,0.0009174311926605505,0.0027522935779816515,0.0,0.0027522935779816515,0.003363914373088685,6,telecom,2021
7,0.024448217317487267,0.029541595925297114,0.07470288624787776,0.007809847198641765,0.0030560271646859084,0.00033955857385398983,0.0006791171477079797,0.0030560271646859084,0.00033955857385398983,0.0027164685908319186,0.0,0.0023769100169779285,0.0013582342954159593,7,telecom,2020
8,0.03671912255603243,0.024320457796852647,0.04196471149260849,0.008583690987124463,0.00619933237958989,0.0,0.0,0.00619933237958989,0.0004768717215069146,0.0019074868860276585,0.0004768717215069146,0.001430615164520744,0.0009537434430138292,8,telecom,2018
9,0.033585222502099076,0.026028547439126783,0.041981528127623846,0.008396305625524769,0.002938706968933669,0.0,0.0,0.004617968094038623,0.00041981528127623844,0.0025188916876574307,0.00041981528127623844,0.002938706968933669,0.0016792611251049538,9,telecom,2019
10,0.01778496362166532,0.009700889248181084,0.021018593371059015,0.005658852061438965,0.0016168148746968471,0.0,0.002425222312045271,0.00889248181083266,0.0,0.0,0.0008084074373484236,0.10832659660468877,0.0032336297493936943,10,leonardo,2019
11,0.02666666666666667,0.006153846153846154,0.024615384615384615,0.003076923076923077,0.0,0.0,0.005128205128205128,0.0041025641025641026,0.0,0.0,0.006153846153846154,0.09435897435897436,0.0010256410256410256,11,leonardo,2018
12,0.007246376811594203,0.03159420289855072,0.024927536231884057,0.0011594202898550724,0.0002898550724637681,0.0,0.0,0.01536231884057971,0.0,0.0,0.0005797101449275362,0.0336231884057971,0.0,12,leonardo,2020
13,0.014756517461878997,0.03246433841613379,0.018691588785046728,0.001967535661583866,0.0012297097884899164,0.0,0.00024594195769798326,0.01352680767338908,0.0004918839153959665,0.0,0.00024594195769798326,0.04353172651254304,0.0014756517461878996,13,leonardo,2021
14,0.025075225677031094,0.009027081243731194,0.0160481444332999,0.007021063189568706,0.0020060180541624875,0.0,0.0,0.007021063189568706,0.0,0.0,0.003009027081243731,0.09327983951855567,0.0,14,leonardo,2017
15,0.016983695652173912,0.005434782608695652,0.029891304347826088,0.012907608695652174,0.0006793478260869565,0.0,0.0,0.008152173913043478,0.0,0.0,0.001358695652173913,0.002717391304347826,0.0006793478260869565,15,ferrari,2021
16,0.021354933726067747,0.0014727540500736377,0.033873343151693665,0.0066273932253313695,0.0,0.0,0.0007363770250368188,0.008100147275405008,0.0,0.0,0.0007363770250368188,0.0029455081001472753,0.0,16,ferrari,2020
17,0.016057091882247992,0.006244424620874219,0.01784121320249777,0.007136485280999108,0.0,0.0,0.0,0.008920606601248885,0.0,0.0,0.001784121320249777,0.001784121320249777,0.0,17,ferrari,2018
18,0.009892086330935251,0.0044964028776978415,0.018884892086330936,0.008992805755395683,0.0,0.0,0.0017985611510791368,0.012589928057553957,0.0,0.0,0.0035971223021582736,0.0035971223021582736,0.0,18,ferrari,2019
19,0.014705882352941176,0.0058823529411764705,0.021568627450980392,0.016666666666666666,0.0,0.0,0.0,0.018627450980392157,0.0,0.0,0.004901960784313725,0.00392156862745098,0.0,19,ferrari,2017
20,0.04971932638331997,0.020850040096230954,0.0545308740978348,0.006415396952686447,0.0008019246190858059,0.0024057738572574178,0.0024057738572574178,0.00801924619085806,0.0,0.006415396952686447,0.0,0.0,0.009623095429029671,20,unipolsai,2020
21,0.04171240395170143,0.019209659714599342,0.03787047200878156,0.005488474204171241,0.0005488474204171241,0.0021953896816684962,0.0005488474204171241,0.014270032930845226,0.0010976948408342481,0.0038419319429198683,0.0,0.0,0.004939626783754116,21,unipolsai,2021
22,0.04725897920604915,0.026465028355387523,0.034026465028355386,0.007561436672967864,0.0,0.000945179584120983,0.0,0.005671077504725898,0.0,0.003780718336483932,0.0,0.000945179584120983,0.007561436672967864,22,unipolsai,2019
